,make ,model,category,displacement,power_hp,torque_nm,net_weight,gross_weight,load_capacity,seat_height,fuel_efficiency,fuel_tank,tank_range,wheel_base,ground_clear,front_wheel,rear_wheel,front_travel,rear_travel,hip_angle,knee_angle,pw_ratio,chain,shaft,cast,spoke,clusters,new_category,comparison_column
12,kawasaki,versys1000,adventure,1043,118,102,239,459,220,840,4.4,21.0,477,1520,150,17,17,120,180,89,87,0.26,1,0,1,0,3,touring,False
30,honda,xadv,adventure,745,54,68,236,440,204,820,3.6,15.0,417,1590,165,17,15,120,160,84,114,0.12,1,0,0,1,2,naked,False
31,honda,nc750x,adventure,745,58,69,218,413,195,800,3.5,14.1,403,1535,165,17,17,120,160,86,84,0.14,1,0,1,0,2,naked,False
32,honda,cb500x,adventure,471,57,47,199,374,175,775,5.8,18.0,310,1445,180,19,17,110,160,96,83,0.15,1,0,1,0,2,naked,False
40,bmw,r1250gs,adventure,1254,136,143,216,465,249,850,6.6,20.0,303,1500,185,17,17,120,170,97,98,0.29,0,1,1,0,3,touring,False
42,bmw,f750gs,adventure,853,76,83,216,440,224,815,4.1,15.0,366,1559,105,19,17,110,150,89,93,0.17,1,0,1,0,2,naked,False
43,triumph,tigersport660,adventure,660,81,64,206,408,202,835,4.5,17.5,389,1418,162,17,17,120,180,85,80,0.2,1,0,1,0,2,naked,False
47,triumph,tiger1200xr,adventure,1215,139,122,242,472,230,835,4.9,20.0,408,1520,208,19,17,120,170,87,88,0.29,0,1,1,0,3,touring,False
48,triumph,tiger1200rally,adventure,1215,139,122,242,465,223,863,4.9,20.0,408,1520,235,21,18,203,203,87,88,0.3,0,1,0,1,3,touring,False
55,motoguzzi,v85tt,adventure,853,79,59,229,448,219,830,4.6,23.0,500,1530,210,19,17,110,150,96,91,0.18,0,1,0,1,3,touring,False
58,aprilia,tuareg660,adventure,660,80,70,204,415,211,845,4.0,18.0,450,1525,240,21,18,240,240,98,93,0.19,1,0,0,1,3,touring,False
62,ktm,supaeradventures1290,adventure,1301,160,140,222,460,238,849,4.4,23.0,523,1560,223,19,17,120,170,94,92,0.35,1,0,0,1,3,touring,False
